Model Name,Layer Name,Critical Features - Critical Distances: Correlation Score,Critical Features - Non-Critical Distances: Correlation Score,Critical Features - critical_changes: Mean,Critical Features - diff: Mean,Critical Features - non_critical_changes: Mean,Critical Features - same: Mean,IL Celebs - Familiar Performance: Correlation Score,IL Celebs - Unfamiliar Performance: Correlation Score,International Celebs - Memory Perception Similarity: Correlation Score,International Celebs - Visual Perception Similarity: Correlation Score,International Celebs - Visual Perception Similarity DP: Correlation Score,International Celebs - Visual Perception Similarity SP: Correlation Score,Inversion Effect - Inverted: AUC,Inversion Effect - Inverted: Accuracy,Inversion Effect - Inverted: Optimal Threshold,Inversion Effect - Upright: AUC,Inversion Effect - Upright: Accuracy,Inversion Effect - Upright: Optimal Threshold,LFW: AUC,LFW: Accuracy,LFW: Optimal Threshold,Other Race Effect - Asian: AUC,Other Race Effect - Asian: Accuracy,Other Race Effect - Asian: Optimal Threshold,Other Race Effect - Caucasian: AUC,Other Race Effect - Caucasian: Accuracy,Other Race Effect - Caucasian: Optimal Threshold,"Thatcher Effect: Group ""Inverted"" Mean","Thatcher Effect: Group ""Upright"" Mean",Thatcher Effect: Relative Difference,View Invariant - Frontal - Frontal - Diff: Mean,View Invariant - Frontal - Half Left: Mean,View Invariant - Frontal - Frontal - Same : Mean,View Invariant - Frontal - Quarter Left : Mean
Humans,0,0.40497,0.19537,0.733333,0.555556,0.333333,0.166667,0.258937,0.094605,0.36557,0.271311,0.33585,0.23081,0.60791,0.506667,0.50227,0.7025,0.513333,0.4911,0.70626,0.74553,0.50358,0.65571,0.6,0.52315,0.7427,0.75,0.49207,0.48739,0.59073,0.10334,0.655556,0.166667,0.166667,0.166667
Humans,10,0.43195,0.21756,0.788889,0.7,0.366667,0.177778,0.292743,0.216033,0.384854,0.34561,0.36802,0.27196,0.56868,0.761333,0.50196,0.72569,0.866667,0.50295,0.71365,0.78079,0.51672,0.67802,0.6725,0.49244,0.76883,0.82375,0.50996,0.49807,0.61052,0.11245,0.783333,0.176667,0.176667,0.166667
Humans,20,0.47314,0.24686,0.844444,0.733333,0.377778,0.188889,0.307976,0.389122,0.420251,0.386869,0.39102,0.29505,0.56958,0.773333,0.4617,0.73764,0.901333,0.52145,0.73374,0.79659,0.53305,0.69287,0.6975,0.52908,0.78379,0.8575,0.52727,0.499,0.58981,0.09081,0.846667,0.197778,0.222222,0.184444
Humans,30,0.51523,0.24753,0.866667,0.766667,0.4,0.188889,0.324612,0.461531,0.47399,0.445143,0.40864,0.3413,0.51931,0.789333,0.46851,0.76899,0.911333,0.53674,0.77149,0.80421,0.54387,0.70651,0.72125,0.51721,0.79348,0.87125,0.54199,0.47699,0.62309,0.1461,0.855556,0.218889,0.233333,0.207778
Humans,40,0.53099,0.27164,0.877778,0.8,0.466667,0.222222,0.339631,0.471862,0.500443,0.475218,0.43728,0.33697,0.51698,0.8,0.45815,0.79182,0.917333,0.54721,0.78665,0.84062,0.53067,0.71351,0.725,0.53973,0.83811,0.8825,0.53244,0.44036,0.64192,0.20156,0.88,0.24,0.251111,0.228889
Humans,50,0.56433,0.30549,0.888889,0.84,0.5,0.255556,0.354701,0.499447,0.519444,0.517145,0.46515,0.36413,0.51079,0.813333,0.45226,0.80397,0.926667,0.56383,0.81825,0.86496,0.54618,0.74092,0.74375,0.56645,0.83967,0.89375,0.55221,0.4396,0.64308,0.20348,0.905556,0.272222,0.272222,0.244444
Humans,60,0.61579,0.32321,0.911111,0.855556,0.555556,0.3,0.387929,0.539788,0.534953,0.544396,0.5022,0.38299,0.45676,0.82,0.42096,0.85199,0.926667,0.5668,0.83807,0.87449,0.57182,0.74227,0.755,0.56731,0.82975,0.9125,0.56192,0.446,0.68299,0.23699,0.922222,0.311111,0.282222,0.271111
Humans,70,0.64101,0.3587,0.933333,0.866667,0.573333,0.322222,0.426495,0.592804,0.567195,0.584437,0.5073,0.39387,0.43878,0.836667,0.40902,0.86029,0.94,0.59231,0.85483,0.90709,0.58292,0.7643,0.77375,0.567,0.86853,0.91625,0.57124,0.41515,0.66348,0.24833,0.944444,0.376667,0.37,0.332222
Humans,80,0.66197,0.3687,0.955556,0.911111,0.6,0.355556,0.485957,0.620652,0.571413,0.644434,0.53035,0.43921,0.42322,0.88,0.41633,0.86586,0.948,0.58624,0.86931,0.92836,0.59404,0.77848,0.825,0.58174,0.87672,0.9275,0.60654,0.41555,0.68449,0.26894,0.971111,0.455556,0.382222,0.366667
Humans,90,0.70543,0.38588,1,0.977778,0.644444,0.411111,0.527569,0.705736,0.601363,0.736103,0.54926,0.45752,0.39497,0.906667,0.40297,0.90657,0.954,0.6272,0.88485,0.93857,0.63853,0.80082,0.84,0.6068,0.90852,0.9425,0.60405,0.40775,0.70131,0.29356,1,0.467778,0.501111,0.504444
Humans,100,,,1,1,0.788889,0.455556,0.592324,0.730572,0.638046,0.750633,,,,0.913333,,,0.986667,,,,,,0.925,,,0.9875,,,,,1,0.577778,0.711111,0.6
